StrategyBoxName,Price change,Control 25,Test 25,Control 24,Test 24,Change Test,Change Control,%Change Test,%Change Control
Core Products ,Up,9172.62307,11744.46394,10589.24344,12691.10779,-946.6438500000004,-1416.6203700000005,-7.459111258560987,-13.377918621162612
Core Products ,Equal,3283.98,823.14,5630.88,295.92,527.22,-2346.9,178.16301703163018,-41.67909811610264
KVI Strategy,Equal,7754.64258,21295.05592,9944.96388,24828.02976,-3532.9738400000024,-2190.3212999999996,-14.229779302471732,-22.024426900180956
KVI Strategy,Down,25283.26864,38267.98286,43139.20216,60093.73976,-21825.7569,-17855.933520000002,-36.319518450951534,-41.39143198284871
