StrategyBoxName,Price change,Control 25,Test 25,Control 24,Test 24,Change Test,Change Control,%Change Test,%Change Control
Core Products ,Up,2665.4762,3654.6048,3113.1068,4394.4027,-739.7978999999996,-447.63059999999996,-16.835004675379423,-14.378902773268168
Core Products ,Equal,1825.44,483.48,3037.08,177.12,306.36,-1211.6399999999999,172.96747967479675,-39.89489904776956
KVI Strategy,Equal,3130.4292,6866.716399999999,4610.8448,10915.4102,-4048.693800000001,-1480.4155999999998,-37.091540545127664,-32.10725288346292
KVI Strategy,Down,11447.427599999999,17311.4834,21371.2762,27880.52,-10569.0366,-9923.848600000001,-37.908319500497115,-46.435451524415754
